dataset,vocab_size,embedding,net,hidden_size,num_layers,dropout,bidirectional,attention,type,epoch,time,speed,loss_mean,loss_std,precision,recall,f1-score,accuracy
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,0,96.2442946434021,4.062578477495284,0.5852232417639565,0.10687912809834442,0.6909942071677329,0.69068,0.6905527310223304,0.69068
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,0,33.47723937034607,11.679577150150122,0.4777433913001014,0.2108030970066992,0.7837281294145795,0.76424,0.7601209208053845,0.76424
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,1,95.32900190353394,4.1015849551814645,0.5216078969371288,0.1384991994480811,0.7306992114192381,0.73044,0.7303642599677509,0.73044
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,1,33.067681550979614,11.82423386402839,0.7330364858555367,0.20904112698565117,0.5097004613513835,0.50728,0.47449923181156106,0.50728
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,2,91.76148891448975,4.261046814141858,0.5269942203598559,0.0989845348091291,0.7337203727760359,0.73352,0.7334628732042286,0.73352
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,2,32.89504384994507,11.886289064808556,0.4425129711704181,0.09987856224880844,0.7986987028052923,0.79804,0.7979285959333956,0.79804
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,3,91.26692867279053,4.284136715083402,0.42866644278511673,0.07802963525424952,0.8064095234727414,0.80628,0.8062595258166732,0.80628
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,3,33.02791094779968,11.838472031064029,0.3491083436533618,0.09471222922962472,0.8526829493269578,0.85076,0.8505562953185831,0.85076
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,4,94.80018663406372,4.124464453949771,0.3513112625731227,0.07351875813591999,0.8486690003349016,0.84864,0.8486368526152586,0.84864
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,4,33.40581035614014,11.70455067042349,0.31967633371920234,0.0995139236914585,0.8646607862194479,0.86436,0.864332023960928,0.86436
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,5,94.44165349006653,4.140122345921504,0.30061032830754203,0.06972367743704953,0.8754101510904855,0.8754,0.8753991576983061,0.8754
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,5,33.269726037979126,11.752426201335506,0.2979374491535794,0.11257914051549647,0.8761804956491929,0.87496,0.8748584964249787,0.87496
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,6,94.74884128570557,4.126699542646426,0.2917864240343918,0.06779595803482197,0.8797665720883899,0.87976,0.8797594797914133,0.87976
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,6,33.366182804107666,11.718451651948167,0.2931028201871211,0.0974146619511943,0.8760802406913539,0.87608,0.8760799801727968,0.87608
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,7,94.73849034309387,4.1271504177869,0.28683932815366386,0.07396542883246172,0.8808856163869451,0.88088,0.8808795608744133,0.88088
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,7,33.2538115978241,11.758050617739844,0.28699102508061375,0.09734442159432403,0.8802424919571952,0.88024,0.8802398037848944,0.88024
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,8,92.80094909667969,4.213318977941245,0.28125465495507124,0.06893738923056847,0.8840031850760183,0.884,0.8839997594619012,0.884
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,8,32.966079235076904,11.860676461153567,0.2843919526737974,0.09949098667467908,0.8810616476259568,0.88092,0.880908932914772,0.88092
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,9,93.90491557121277,4.16378628979742,0.2773071775198593,0.06526345069547786,0.8846015384061535,0.8846,0.8845998845998847,0.8846
IMDB,50000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,9,33.07000970840454,11.823401427687811,0.28309811451627165,0.09771676686573294,0.8825875120210243,0.88256,0.8825578886726994,0.88256
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,0,116.38110971450806,3.3596517592859656,0.6702773199819237,0.0612684025948827,0.5758566147209077,0.56848,0.5577279025166572,0.56848
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,0,29.133999347686768,13.420745821189335,0.6757241354878906,0.06599579953047571,0.6904608146730362,0.50376,0.3426722325490043,0.50376
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,1,115.78244280815125,3.3770232387295342,0.6633724907170171,0.03582629797144113,0.595662000651264,0.59196,0.5879737741579183,0.59196
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,1,28.30610418319702,13.813274955445976,0.6370056181612527,0.07038040943032443,0.6495303725120092,0.62792,0.6139726758987161,0.62792
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,2,116.55044341087341,3.354770591662307,0.6792806914395384,0.053107486290036275,0.5544492586390578,0.55444,0.5544210582609552,0.55444
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,2,28.05361795425415,13.937596235807701,0.6756486430802309,0.04995402420638497,0.673276945787626,0.58504,0.5245067410588568,0.58504
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,3,116.06355953216553,3.368843774704664,0.40638649730426274,0.12368325956076984,0.8138795976686516,0.81376,0.8137422575344714,0.81376
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,3,28.170753717422485,13.879642835334652,0.3009319293224598,0.10367390366416125,0.878484847401724,0.8768,0.8766627392452137,0.8768
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,4,116.10447144508362,3.3676566899918194,0.28996438068120983,0.08030197730215476,0.8793604758697809,0.87936,0.8793599621672841,0.87936
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,4,28.07020115852356,13.929362236909807,0.2656852053978559,0.10340405361548012,0.8909722419246484,0.89088,0.8908735634608694,0.89088
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,5,115.93433856964111,3.372598703921776,0.25077711392546553,0.07338145713620077,0.9002800230561293,0.90028,0.9002799985640318,0.90028
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,5,28.168195724487305,13.880903264957581,0.2588237551472071,0.10752050717081327,0.8946605315844048,0.8942,0.8941691263402184,0.8942
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,6,115.84532499313354,3.375190151377931,0.2446267095101459,0.07085666726265842,0.9016812442478221,0.90168,0.9016799238609331,0.90168
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,6,28.281372785568237,13.82535434063244,0.25428603572385083,0.0984650441628078,0.8958826893248614,0.89544,0.8954107611997437,0.89544
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,7,114.66332793235779,3.409983008958704,0.24006371682181077,0.06634138070802206,0.9069207526406241,0.90692,0.9069199569597881,0.90692
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,7,28.06118869781494,13.933835954370894,0.2508288029476505,0.09593240427650417,0.8961017344572401,0.8958,0.8957801523722178,0.8958
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,8,115.96387124061584,3.371739799792523,0.23596259195100316,0.06782860405262346,0.9084005122976027,0.9084,0.9083999712742309,0.9084
