dataset,vocab_size,embedding,net,hidden_size,num_layers,dropout,bidirectional,attention,type,epoch,time,speed,loss_mean,loss_std,precision,recall,f1-score,accuracy
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,train,1,71.27195763587952,5.486028628504571,0.6535264707892142,0.05350593768188819,0.6110465497920184,0.61104,0.61103426446685,0.61104
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,test,1,33.44351410865784,11.691355122839145,0.7565595887963424,0.3861846282003504,0.6012619341217723,0.55128,0.4881145435417454,0.55128
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,train,2,71.71257042884827,5.452321645449066,0.6497745875202482,0.04370801961129478,0.6173782817143283,0.61736,0.6173451003365789,0.61736
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,test,2,34.70190191268921,11.267393959667256,0.6905648779991033,0.28709463550009817,0.6265397749164993,0.5728,0.5220558549371426,0.5728
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,train,3,76.12451314926147,5.1363218472523435,0.6453267329031854,0.04873805652552324,0.6234482198737892,0.62344,0.6234337315272684,0.62344
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,test,3,35.260181188583374,11.088995768592333,0.6411015985871825,0.1133822728425843,0.6294902523329241,0.62,0.6129075648169089,0.62
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,train,4,76.74349617958069,5.094894283745627,0.6300009565280221,0.05459880193875253,0.6434036167262803,0.64336,0.6433328796028324,0.64336
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,test,4,34.901140213012695,11.20307238140655,0.6042032885886824,0.24419576934093767,0.7119325337092203,0.67824,0.6649225443551241,0.67824
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,train,5,75.16915822029114,5.201601418152553,0.5518536544821756,0.07156295235391444,0.7209378051010626,0.72084,0.7208091018316234,0.72084
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,test,5,34.30720853805542,11.39702169490944,0.5317558220890172,0.06737283066425227,0.7375215566212736,0.73752,0.7375195699520635,0.73752
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,train,6,72.26337718963623,5.410762895483328,0.6006447237623317,0.07383904035631482,0.6792827886115914,0.67876,0.6785256451953474,0.67876
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,test,6,33.968501806259155,11.510663679843336,0.5073732868256167,0.10888211815370215,0.7598760587370857,0.757,0.756325812003619,0.757
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,train,7,72.23954892158508,5.412547639582087,0.5281025335916778,0.07434077215026473,0.7380019740835737,0.738,0.7379994567156735,0.738
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,test,7,32.78396797180176,11.926561187965657,0.4832901963035164,0.09484467786784949,0.7752800850174422,0.77508,0.7750391222689231,0.77508
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,train,8,71.44212079048157,5.472961828032602,0.6151599467867781,0.08156083783295674,0.6620227262083714,0.66188,0.6618055209179275,0.66188
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,test,8,32.98453950881958,11.854038462336343,0.5959041085846893,0.06540955211107956,0.6862588826179931,0.68484,0.6842386484202887,0.68484
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,train,9,71.48515272140503,5.4696672681643665,0.5506605975463262,0.0640272865311831,0.717961268263426,0.71792,0.717906647280405,0.71792
IMDB,50000,glove.6B.300d,RNN,256,2,0.5,1,0,test,9,32.91939640045166,11.877496028287913,0.5896631116452424,0.18533180900560614,0.719671547902983,0.6842,0.670915227360747,0.6842
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,train,0,33.98921275138855,11.50364978618184,0.4321333098289607,0.14615968037129828,0.7886804156997986,0.78868,0.7886799239247726,0.78868
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,test,0,18.12823224067688,21.56856745925055,0.2988014863065594,0.14736369354370826,0.8784697804665295,0.87548,0.8752335971341572,0.87548
IMDB,50000,glove.6B.300d,GRU,256,1,0.5,0,0,train,1,31.54358673095703,12.395546623627004,0.28038859190157306,0.06966238548733862,0.8862154263710463,0.8862,0.8861988636273727,0.8862
